camera_fingerprint,test_data,test_img,pce_value
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,-7.178250619459312
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,0.06927274662316663
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,-0.233513695016402
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,-6.266965755385424
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,3.4913158412017697
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,0.2933667154067211
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,-2.550233392147106
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,1.8482906660259237
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,0.11167873986272031
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,0.2047087074023613
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,-0.6000157138971814
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,0.39981456895057654
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,-1.6890270667441545
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,1.4101150581527153
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,-0.3755436397745007
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,0.34546341127044666
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,0.6734746324257043
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,0.0690126619847532
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,3.0298736322114395
Agfa_DC-830i_0,Dresden_sample_dataset,Casio_EX_Z150_0,-0.08804777161576695
Agfa_DC-830i_0,Dresden_sample_dataset,Agfa_Sensor530s_0,0.013766524304836476
